SymbolSet,Entity,EntityType,EntitySubType,StandardIdentity,Code,GeometryType,IconType,UniqueName
00,Unspecified,,,,000000,NotValid,NA,Unspecified
01,Unspecified,,,,000000,NotValid,NA,Unspecified
01,Military,,,,110000,Point,MAIN,Military (Air)
01,Military,Fixed-Wing,,,110100,Point,MAIN,Military (Air) : Fixed-Wing
01,Military,Fixed-Wing,Medical Evacuation (MEDEVAC),,110101,Point,MAIN,Military (Air) : Fixed-Wing : Medical Evacuation (MEDEVAC)
01,Military,Fixed-Wing,Attack/Strike,,110102,Point,MAIN,Military (Air) : Fixed-Wing : Attack/Strike
01,Military,Fixed-Wing,Bomber,,110103,Point,MAIN,Military (Air) : Fixed-Wing : Bomber
01,Military,Fixed-Wing,Fighter,,110104,Point,MAIN,Military (Air) : Fixed-Wing : Fighter
01,Military,Fixed-Wing,Fighter/Bomber,,110105,Point,MAIN,Military (Air) : Fixed-Wing : Fighter/Bomber
01,Military,Fixed-Wing,Cargo,,110107,Point,MAIN,Military (Air) : Fixed-Wing : Cargo
01,Military,Fixed-Wing,Electronic Combat (EC)/Jammer,,110108,Point,MAIN,Military (Air) : Fixed-Wing : Electronic Combat (EC)/Jammer
01,Military,Fixed-Wing,Tanker,,110109,Point,MAIN,Military (Air) : Fixed-Wing : Tanker
01,Military,Fixed-Wing,Patrol,,110110,Point,MAIN,Military (Air) : Fixed-Wing : Patrol
01,Military,Fixed-Wing,Reconnaissance,,110111,Point,MAIN,Military (Air) : Fixed-Wing : Reconnaissance
01,Military,Fixed-Wing,Trainer,,110112,Point,MAIN,Military (Air) : Fixed-Wing : Trainer
01,Military,Fixed-Wing,Utility,,110113,Point,MAIN,Military (Air) : Fixed-Wing : Utility
01,Military,Fixed-Wing,VSTOL,,110114,Point,MAIN,Military (Air) : Fixed-Wing : VSTOL
01,Military,Fixed-Wing,Airborne Command Post (ACP),,110115,Point,MAIN,Military (Air) : Fixed-Wing : Airborne Command Post (ACP)
01,Military,Fixed-Wing,Airborne Early Warning (AEW),,110116,Point,MAIN,Military (Air) : Fixed-Wing : Airborne Early Warning (AEW)
01,Military,Fixed-Wing,Antisurface Warfare,,110117,Point,MAIN,Military (Air) : Fixed-Wing : Antisurface Warfare
