SymbolSet,ModifierNumber,Category,Name,Code,UniqueName
27,2,,Unspecified,00,Unspecified
27,2,Task,Airborne,01,Task : Airborne
27,2,Task,Bicycle Equipped,02,Task : Bicycle Equipped
27,2,Task,Demolition,03,Task : Demolition
27,2,Functional Staff Area,J1,04,Functional Staff Area : J1
27,2,Functional Staff Area,J2,05,Functional Staff Area : J2
27,2,Functional Staff Area,J3,06,Functional Staff Area : J3
27,2,Functional Staff Area,J4,07,Functional Staff Area : J4
27,2,Functional Staff Area,J5,08,Functional Staff Area : J5
27,2,Functional Staff Area,J6,09,Functional Staff Area : J6
27,2,Functional Staff Area,J7,10,Functional Staff Area : J7
27,2,Functional Staff Area,J8,11,Functional Staff Area : J8
27,2,Functional Staff Area,J9,12,Functional Staff Area : J9
27,2,Other,Mountain,13,Other : Mountain
27,2,Rank,OF-1,14,Rank : OF-1
27,2,Rank,OF-2,15,Rank : OF-2
27,2,Rank,OF-3,16,Rank : OF-3
27,2,Rank,OF-4,17,Rank : OF-4
27,2,Rank,OF-5,18,Rank : OF-5
27,2,Rank,OF-6,19,Rank : OF-6
27,2,Rank,OF-7,20,Rank : OF-7
27,2,Rank,OF-8,21,Rank : OF-8
27,2,Rank,OF-9,22,Rank : OF-9
27,2,Rank,OF-10,23,Rank : OF-10
27,2,Rank,OF-D,24,Rank : OF-D
27,2,Rank,OR-1,25,Rank : OR-1
27,2,Rank,OR-2,26,Rank : OR-2
27,2,Rank,OR-3,27,Rank : OR-3
27,2,Rank,OR-4,28,Rank : OR-4
27,2,Rank,OR-5,29,Rank : OR-5
27,2,Rank,OR-6,30,Rank : OR-6
27,2,Rank,OR-7,31,Rank : OR-7
27,2,Rank,OR-8,32,Rank : OR-8
27,2,Rank,OR-9,33,Rank : OR-9
27,2,Rank,WO-1,34,Rank : WO-1
27,2,Rank,WO-2,35,Rank : WO-2
27,2,Rank,WO-3,36,Rank : WO-3
27,2,Rank,WO-4,37,Rank : WO-4
27,2,Rank,WO-5,38,Rank : WO-5
27,2,Other,Ski,39,Other : Ski
