schema_class,schema_name,schema_geometry,schema_alias,schema_label,schema_thumb,schema_tags,schema_summary,schema_description,schema_credits,schema_use,schema_east,schema_west,schema_north,schema_south,schema_maxscale,schema_minscale,schema_spatial_reference
SchemaContainer,MilitaryOverlay2525C,Mixed,Military Overlay (2525C),Military Overlay for ArcGIS (2525C),COA.png,ArcGIS for the Military;Military Overlay;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions,"Military Overlay is a geodatabase containing a collection of military feature templates for Planning, Operations, and Intelligence use. It contains an information model for creating Military Overlay Features based on MIL-STD-2525C.",Military Overlay contains an information model for creating Military Overlay Features based on MIL-STD-2525C.,,"Licensed under the Apache License, Version 2.0.",-54742489,-58939858,40.253719,38.026544,5000,150000000,
SchemaSet,MilitaryOverlay2525C,Mixed,Military Overlay (2525C),Military Overlay for ArcGIS (2525C),COA.png,ArcGIS for the Military;Military Feature;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions,"Military Overlay is a layer template for creating Military Overlays for Planning, Operations, and Intelligence use. It contains an information model for creating Military Overlays based on MIL-STD-2525C.",Military Overlays is an information model for creating Military Overlays based on MIL-STD-2525C.,,"Licensed under the Apache License, Version 2.0.",-54742489,-58939858,40.253719,38.026544,5000,150000000,4326
Schema,Air,Point,Air,Air,Air.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Air,Military Features for use as part of a plan or operation. This feature class is intended to be used with air and air missile data.,Military Features that support air equipment and weapons.,,"Licensed under the Apache License, Version 2.0.",-54.742489,-58.939858,40.253719,38.026544,5000,150000000,
Schema,Space,Point,Space,Space,Space.jpg,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Space;Space Missile,Military Features for use as part of a plan or operation. This feature class is intended to be used with space data.,Military Features that support space and space missile features.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,Units,Point,Units,Land Units,Units.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Land Units,Military Features for use as part of a plan or operation. This feature class is intended to be used with land unit data.,Military Features that support land unit features.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,LandEquipment,Point,Land Equipment,Land Equipment,Land.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Land Equipment,Military Features for use as part of a plan or operation. This feature class is intended to be used with land equipment data.,Military Features that support land equipment features.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,Installations,Point,Installations and Infrastructures,Installations,Installations.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Installations,Military Features for use as part of a plan or operation. This feature class is intended to be used with installation data.,Military Features that support building and installation features.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,ControlMeasuresPoints,Point,Control Measures Points,Control Measures Points,ControlMeasureP.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Control Measures,Military Features for use as part of a plan or operation. This feature class is intended to be used with control measure point data.,Military Features that support military control measure points.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,ControlMeasuresLines,Line,Control Measures Lines,Control Measures Lines,ControlMeasureL.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Control Measures,Military Features for use as part of a plan or operation. This feature class is intended to be used with control measure line data.,Military Features that support military control measure lines.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,ControlMeasuresAreas,Area,Control Measures Areas,Control Measures Areas,ControlMeasureA.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Control Measures,Military Features for use as part of a plan or operation. This feature class is intended to be used with control measure polygon/area data.,Military Features that support military control measure areas.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,SeaSurface,Point,Sea Surface,Sea Surface,SeaSurface.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Sea Surface,Military Features for use as part of a plan or operation. This feature class is intended to be used with sea surface data.,Military Features that support sea surface features.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,SeaSubsurface,Point,Sea Subsurface,Sea Subsurface,SeaSubSurface.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Sea Subsurface,Military Features for use as part of a plan or operation. This feature class is intended to be used with sea subsurface data.,Military Features that support sea subsurface features.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,Activities,Point,Activities,Activities,Activities.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Activities,Military Features for use as part of a plan or operation. This feature class is intended to be used with activities data.,"Activities include stability operations, defense support to civil authorities, foreign humanitarian assistance, incidents, natural events, and operations. Among the types of activities represented are acts of terrorism, sabotage, crime, natural disasters, relief operations, and the uncontrolled movement of large numbers of people (MIL-STD-2525C).",,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,SIGINT,Point,SIGINT,Signals Intelligence (SIGINT),SigInt.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Signals Intelligence;SIGINT,Military Features for use as part of a plan or operation. This feature class is intended to be used with Signals Intelligence (SIGINT) data.,Military Features that support Signals Intelligence (SIGINT) features.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,METOCPoints,Point,METOC Points,Meteorological and Oceanographic (METOC) Points,MetocP.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Meteorological and Oceanographic;METOC,Military Features for use as part of a plan or operation. This feature class is intended to be used with Meteorological and Oceanographic (METOC) point data.,Military Features that support Meteorological and Oceanographic (METOC) point features.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
Schema,METOCLines,Line,METOC Lines,Meteorological and Oceanographic (METOC) Lines ,MetocL.JPG,ArcGIS for the Military;Defense;Intelligence;Military;MIL-STD-2525C;ArcGISSolutions;Meteorological and Oceanographic;METOC,Military Features for use as part of a plan or operation. This feature class is intended to be used with Meteorological and Oceanographic (METOC) line/polyline data.,Military Features that support Meteorological and Oceanographic (METOC) line features.,,"Licensed under the Apache License, Version 2.0.",,,,,5000,150000000,
